순위,영화명,개봉일,제작연도,대표국적,국적,장르,감독,배급사,직배여부,등급,개봉스크린수,첫주관객,2주누적,최종누적관객,배수,스크린당관객,14일좌석수,평균좌석판매율,좌석결손일,누적매출액,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
1,서브스턴스,2024-12-11,2024,영국,영국,스릴러,코랄리 파르쟈,(주)넥스트엔터테인먼트월드(NEW),비직배,청소년관람불가,372,65389,119538,561934,8.59,1511,598469,17.0,3,5481959540,9911,8120,9096,12589,12234,6320,7119,6752,7094,7901,11307,9642,6447,5006,5394
2,8번 출구,2025-10-22,2025,일본,일본,"스릴러,공포(호러)",카와무라 겐키,(주)넥스트엔터테인먼트월드(NEW),비직배,12세이상관람가,781,211707,337632,450206,2.13,576,2619639,8.7,3,4402823930,31965,16219,26285,57533,53355,13532,12818,16968,8861,15494,37319,31903,7662,7718,7033
3,콘클라베,2025-03-05,2024,미국,미국,"드라마,스릴러",에드워드 버거,(주)디스테이션,비직배,12세이상관람가,630,84805,151848,334972,3.95,532,1810089,8.4,0,3194605300,10796,8417,10527,21385,19354,7072,7254,6306,5311,7948,18023,17145,6107,6203,5128
4,국보,2025-11-19,2025,일본,일본,드라마,이상일,(주)넥스트엔터테인먼트월드(NEW),비직배,15세이상관람가,521,67401,121103,221160,3.28,424,683596,12.2,4,2151220110,9569,6746,9700,14908,12792,6639,7047,9251,6596,8171,9963,9329,5250,5142,2996
5,존 오브 인터레스트,2024-06-05,2023,미국,미국,드라마,조나단 글레이저,TCO(주)더콘텐츠온,비직배,12세이상관람가,392,69477,113268,207833,2.99,530,616433,12.4,4,2056468040,10497,13271,8718,12381,11911,6500,6199,4373,4419,5400,11107,9699,4407,4386,4110
6,플로우,2025-03-19,2024,기타,기타,애니메이션,긴츠 질발로디스,판씨네마(주),비직배,전체관람가,693,59542,107955,181275,3.04,262,1302709,7.7,0,1729225550,8127,4278,5044,16880,18118,3577,3518,5283,3440,3976,15677,15417,2635,1985,1859
7,가여운 것들,2024-03-06,2023,미국,미국,"드라마,코미디,멜로/로맨스",요르고스 란티모스,월트디즈니컴퍼니코리아 유한책임회사,직배,청소년관람불가,471,73663,110642,156159,2.12,332,1046931,10.5,0,1561873065,13536,7911,9528,15556,13451,6890,6791,4292,3931,5340,9410,7751,3150,3105,2858
8,해피엔드,2025-04-30,2024,일본,일본,드라마,소라 네오,"(주)영화사 진진,주식회사 로아앤코홀딩스",비직배,15세이상관람가,111,33122,59821,152065,4.59,1370,270676,17.7,4,1522708770,5935,4782,4516,4182,4103,4954,4650,3521,3110,4422,5495,5034,2652,2465,3068
9,퍼펙트 데이즈,2024-07-03,2023,일본,일본,드라마,빔 벤더스,(주)티캐스트,비직배,12세이상관람가,137,21686,36333,142633,6.58,1041,139843,18.1,4,1344642331,2584,2032,3747,4564,3832,2500,2427,1864,1833,1635,3116,3021,1649,1529,1351
10,시빌 워: 분열의 시대,2024-12-31,2024,미국,미국,"액션,전쟁,드라마",알렉스 가랜드,(주)마인드마크,비직배,15세이상관람가,662,84078,102817,113869,1.35,172,814456,8.9,3,1166047390,22039,17822,8095,8242,13723,9724,4433,3576,1061,1905,2360,4552,3819,1466,1189
11,청춘 18X2 너에게로 이어지는 길,2024-05-22,2024,대만,"대만,일본",멜로/로맨스,후지이 미치히토,(주)쇼박스,비직배,12세이상관람가,635,82550,100921,112257,1.36,177,856728,5.3,4,1076988964,15195,8496,11683,17778,17842,5713,5843,3653,2924,2472,3782,3044,1165,1331,911
12,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,2023,미국,미국,애니메이션,,(주)넥스트엔터테인먼트월드(NEW),비직배,전체관람가,578,56583,79506,106411,1.88,184,411586,10.0,4,939695914,4693,4217,11729,6604,11611,15031,2698,2683,2215,2228,5905,6937,932,2023,1124
13,추락의 해부,2024-01-31,2023,프랑스,프랑스,"드라마,스릴러",쥐스틴 트리에,(주)스튜디오디에이치엘,비직배,15세이상관람가,236,35124,56902,105134,2.99,445,268680,14.1,4,1031436703,6792,4729,4380,6358,6293,3153,3419,2102,3335,3822,2664,3838,4050,1967,1917
14,악마와의 토크쇼,2024-05-08,2023,호주,호주,공포(호러),,주식회사 올랄라스토리,비직배,15세이상관람가,254,52402,79126,101253,1.93,399,745976,11.1,0,983551800,7285,5179,7537,12189,9577,4218,6417,6090,2874,3508,5797,3770,2436,2249,1453
15,브루탈리스트,2025-02-12,2024,미국,미국,드라마,브래디 코베,유니버설픽쳐스인터내셔널 코리아(유),직배,청소년관람불가,302,30341,54035,95900,3.16,318,355690,11.1,4,959223020,4952,3299,3572,6279,5574,3363,3302,2718,2742,2761,5397,5407,2262,2407,1780
